iter	Passed	Remaining
0	160	320659
1	176	175972
2	192	128415
3	208	103957
4	231	92528
5	253	84100
6	267	76038
7	285	71208
8	301	66628
9	315	62774
10	328	59375
11	340	56327
12	354	54248
13	369	52450
14	384	50912
15	397	49232
16	410	47828
17	424	46693
18	437	45575
19	450	44616
20	465	43884
21	479	43115
22	493	42439
23	507	41758
24	520	41154
25	535	40669
26	549	40148
27	563	39687
28	578	39331
29	591	38834
30	604	38417
31	619	38082
32	631	37642
33	644	37284
34	658	36957
35	670	36592
36	685	36373
37	712	36794
38	726	36508
39	742	36378
40	756	36163
41	774	36121
42	791	36010
43	804	35769
44	819	35618
45	834	35447
46	849	35282
47	863	35121
48	878	34973
49	891	34783
50	905	34595
51	919	34455
52	933	34293
53	947	34131
54	960	33977
55	974	33842
56	990	33764
57	1002	33579
58	1016	33425
59	1032	33390
60	1048	33331
61	1061	33187
62	1076	33091
63	1090	32975
64	1104	32893
65	1120	32834
66	1134	32722
67	1147	32608
68	1161	32510
69	1177	32461
70	1192	32401
71	1207	32337
72	1222	32266
73	1236	32186
74	1251	32116
75	1267	32080
76	1281	31999
77	1296	31952
78	1311	31886
79	1325	31814
80	1339	31742
81	1353	31656
82	1367	31582
83	1382	31526
84	1397	31476
85	1411	31409
86	1424	31330
87	1438	31255
88	1453	31215
89	1467	31142
90	1483	31116
91	1497	31057
92	1511	30991
93	1525	30926
94	1539	30872
95	1553	30818
96	1566	30740
97	1581	30693
98	1594	30619
99	1608	30568
100	1620	30472
101	1633	30398
102	1647	30351
103	1662	30302
104	1677	30267
105	1691	30216
106	1703	30145
107	1717	30094
108	1731	30032
109	1745	29993
110	1759	29941
111	1773	29888
112	1786	29829
113	1799	29776
114	1813	29718
115	1825	29649
116	1839	29605
117	1855	29590
118	1869	29551
119	1883	29512
120	1896	29456
121	1909	29389
122	1922	29341
123	1936	29298
124	1951	29266
125	1965	29236
126	1979	29187
127	1991	29123
128	2004	29066
129	2018	29035
130	2033	29006
131	2046	28958
132	2059	28912
133	2075	28897
134	2090	28875
135	2103	28827
136	2116	28782
137	2132	28769
138	2146	28742
139	2160	28706
140	2174	28675
141	2189	28644
142	2202	28599
143	2216	28564
144	2230	28539
145	2245	28511
146	2260	28491
147	2273	28447
148	2286	28399
149	2299	28357
150	2313	28326
151	2326	28286
152	2340	28256
153	2355	28231
154	2368	28190
155	2381	28155
156	2396	28132
157	2412	28120
158	2426	28098
159	2440	28070
160	2455	28046
161	2470	28025
162	2484	27997
163	2498	27967
164	2512	27942
165	2526	27911
166	2539	27868
167	2553	27841
168	2569	27842
169	2585	27827
170	2601	27820
171	2615	27796
172	2632	27802
173	2648	27791
174	2664	27788
175	2680	27776
176	2697	27785
177	2714	27787
178	2731	27791
179	2748	27795
180	2765	27791
181	2781	27781
182	2798	27788
183	2814	27782
184	2830	27774
185	2847	27772
186	2863	27763
187	2879	27751
188	2895	27749
189	2911	27738
190	2929	27743
191	2948	27769
192	2967	27786
193	2985	27794
194	3001	27779
195	3015	27752
196	3030	27732
197	3045	27718
198	3063	27728
199	3080	27720
